Results Table 1,,,,,,,
,Digital Strain 1 gauge length,Maximum Force,Specimen note 1,Rate 1,Digital Strain 1 at Break (Automatic force drop),Specimen note 2,Specimen note 3
,(mm),(N),,(mm/min),(%),,
1,9.59,3196.2251,,50,2.01,,
2,9.75,3051.6743,,50,3.1,,
3,10.11,2886.5696,,50,0.25,,
4,9.67,2991.3896,,50,2.52,,
,,,,,,,
Results Table 2,,,,,,,
,,,,,,,
,,,,,,,
1,Time,Displacement,Force,Tensile strain (Digital Strain 1),Tensile stress,Tensile displacement,Corrected displacement 1
,(s),(mm),(N),(%),(MPa),(mm),(mm)
,0.817,0.6569,2002.5364,2.1928,69.053,0.2217,0.5826
,0.837,0.6735,2038.4026,2.2967,70.2897,0.2322,0.5977
,0.857,0.6902,2073.7795,2.401,71.5096,0.2427,0.6129
,0.877,0.7069,2108.4871,2.5055,72.7065,0.2533,0.6282
,0.897,0.7237,2142.5505,2.6099,73.8811,0.2639,0.6434
,0.917,0.7403,2175.7568,2.7138,75.0261,0.2744,0.6587
,0.937,0.7569,2208.0247,2.8174,76.1388,0.2848,0.6739
,0.957,0.7735,2239.7166,2.9215,77.2316,0.2954,0.6892
,0.977,0.7902,2270.9114,3.0259,78.3073,0.3059,0.7046
,0.997,0.8069,2301.354,3.13,79.357,0.3164,0.7199
,1.017,0.8235,2330.7756,3.2336,80.3716,0.3269,0.7352
,1.037,0.84,2359.4841,3.3373,81.3615,0.3374,0.7506
,1.057,0.8568,2387.8777,3.4419,82.3406,0.348,0.7661
,1.077,0.8735,2415.5798,3.5467,83.2959,0.3586,0.7816
,1.097,0.8902,2442.387,3.6508,84.2202,0.3691,0.7971
,1.117,0.9068,2468.5967,3.7548,85.124,0.3796,0.8126
,1.137,0.9235,2494.2747,3.8588,86.0095,0.3901,0.8281
,1.157,0.9402,2519.4758,3.9632,86.8785,0.4007,0.8437
,1.177,0.9569,2543.9543,4.0676,87.7226,0.4112,0.8593
,1.197,0.9736,2567.7493,4.1719,88.5431,0.4218,0.875
,1.217,0.9903,2590.8669,4.2762,89.3402,0.4323,0.8906
,1.237,1.0069,2613.2007,4.38,90.1104,0.4428,0.9063
,1.257,1.0235,2635.1536,4.4842,90.8674,0.4533,0.9219
,1.277,1.0403,2656.8049,4.5887,91.614,0.4639,0.9377
,1.297,1.057,2677.6887,4.6931,92.3341,0.4745,0.9535
,1.317,1.0736,2697.7551,4.797,93.026,0.485,0.9692
,1.337,1.0902,2716.9629,4.9007,93.6884,0.4954,0.9849
,1.357,1.1068,2735.8611,5.0047,94.34,0.506,1.0007
,1.377,1.1236,2754.387,5.1093,94.9789,0.5165,1.0166
,1.397,1.1403,2772.0051,5.2137,95.5864,0.5271,1.0325
